ts,node,srx,stx,etx,erx
1637,7,11,11,31,31
1637,8,12,12,32,32
1639,0,13,13,32,53
1639,1,15,15,34,35
1639,2,10,10,29,30
1639,3,16,16,34,36
1639,4,14,14,31,34
1639,5,12,12,32,32
1639,6,11,11,31,31
1639,7,12,12,32,32
1639,8,12,12,32,32
1643,0,13,13,32,53
1643,1,15,15,34,35
1643,2,10,10,29,30
1643,3,16,16,34,36
1643,4,14,14,32,34
1643,5,12,12,32,32
1643,6,11,11,31,31
1643,7,12,12,32,32
1643,8,12,12,32,32
1680,0,13,13,32,53
1680,1,16,16,34,36
1680,2,10,10,29,30
1680,3,16,16,34,36
1680,4,14,14,32,34
1680,5,12,12,32,32
1680,6,11,11,31,31
1680,7,12,12,32,32
1680,8,12,12,32,32
1689,0,13,13,32,53
1689,1,16,16,34,36
1689,2,10,10,29,30
1689,3,16,16,34,36
1689,4,14,14,32,34
1689,5,12,12,32,32
1689,6,15,15,32,35
1689,7,12,12,32,32
1689,8,12,12,32,32
1698,0,13,13,32,53
1698,1,16,16,34,36
1698,2,10,10,29,30
1698,3,16,16,35,36
1698,4,14,14,32,34
1698,5,12,12,32,32
1698,6,15,15,32,35
1698,7,12,12,32,32
1698,8,12,12,32,32
1700,0,13,13,32,53
1700,1,16,16,34,36
1700,2,10,10,29,30
1700,3,16,16,35,36
1700,4,15,15,32,35
1700,5,12,12,32,32
1700,6,15,15,32,35
1700,7,12,12,32,32
1700,8,12,12,32,32
1732,0,13,13,32,53
1732,1,16,16,34,36
1732,2,10,10,29,30
1732,3,16,16,35,36
1732,4,15,15,32,35
1732,5,12,12,32,32
1732,6,15,15,32,35
1732,7,12,12,32,32
1732,8,13,13,33,33
1741,0,13,13,32,53
1741,1,16,16,34,36
1741,2,10,10,29,30
1741,3,16,16,35,36
1741,4,15,15,32,35
1741,5,13,13,33,33
1741,6,15,15,32,35
1741,7,12,12,32,32
1741,8,13,13,33,33
1742,0,13,13,32,53
1742,1,16,16,34,36
1742,2,10,10,29,30
1742,3,16,16,35,36
1742,4,15,15,32,35
1742,5,13,13,33,33
1742,6,15,15,32,35
1742,7,13,13,33,33
1742,8,13,13,33,33
1748,0,13,13,32,53
1748,1,16,16,34,36
1748,2,14,14,33,34
1748,3,16,16,35,36
1748,4,15,15,32,35
1748,5,13,13,33,33
1748,6,15,15,32,35
1748,7,13,13,33,33
1748,8,13,13,33,33
1776,0,13,13,32,53
1776,1,16,16,34,36
1776,2,14,14,33,34
1776,3,16,16,35,36
1776,4,15,15,32,35
1776,5,14,14,34,34
1776,6,15,15,32,35
1776,7,13,13,33,33
1776,8,13,13,33,33
1781,0,13,13,32,53
1781,1,16,16,34,36
1781,2,14,14,33,34
1781,3,16,16,35,36
1781,4,15,15,32,35
1781,5,14,14,34,34
1781,6,15,15,32,35
1781,7,13,13,33,33
1781,8,14,14,34,34
1785,0,13,13,32,53
1785,1,16,16,34,36
1785,2,14,14,34,34
1785,3,16,16,35,36
1785,4,15,15,32,35
1785,5,14,14,34,34
1785,6,15,15,32,35
1785,7,13,13,33,33
1785,8,14,14,34,34
1787,0,13,13,32,53
1787,1,16,16,34,36
1787,2,14,14,34,34
1787,3,16,16,35,36
1787,4,16,16,34,36
1787,5,14,14,34,34
1787,6,15,15,32,35
1787,7,13,13,33,33
1787,8,14,14,34,34
1806,0,13,13,32,53
1806,1,16,16,34,36
1806,2,14,14,34,34
1806,3,16,16,35,36
1806,4,16,16,34,36
1806,5,14,14,34,34
1806,6,15,15,32,35
1806,7,14,14,34,34
1806,8,14,14,34,34
1822,0,13,13,32,53
1822,1,16,16,34,36
1822,2,14,14,34,34
1822,3,16,16,36,36
1822,4,16,16,34,36
1822,5,14,14,34,34
1822,6,15,15,32,35
1822,7,14,14,34,34
1822,8,14,14,34,34
1825,0,13,13,32,53
1825,1,16,16,36,36
1825,2,14,14,34,34
1825,3,16,16,36,36
1825,4,16,16,34,36
1825,5,14,14,34,34
1825,6,15,15,32,35
1825,7,14,14,34,34
1825,8,14,14,34,34
1836,0,13,13,32,53
1836,1,16,16,36,36
1836,2,14,14,34,34
1836,3,18,18,36,38
1836,4,16,16,34,36
1836,5,14,14,34,34
1836,6,15,15,32,35
1836,7,14,14,34,34
1836,8,14,14,34,34
1839,0,20,20,38,60
1839,1,16,16,36,36
1839,2,14,14,34,34
1839,3,18,18,36,38
1839,4,16,16,34,36
1839,5,14,14,34,34
1839,6,15,15,32,35
1839,7,14,14,34,34
1839,8,14,14,34,34
1849,0,20,20,38,60
1849,1,18,18,36,38
1849,2,14,14,34,34
1849,3,18,18,36,38
1849,4,16,16,34,36
1849,5,14,14,34,34
1849,6,15,15,32,35
1849,7,14,14,34,34
1849,8,14,14,34,34
1852,0,20,20,38,60
1852,1,18,18,36,38
1852,2,14,14,34,34
1852,3,18,18,36,38
1852,4,17,17,34,37
1852,5,14,14,34,34
1852,6,15,15,32,35
1852,7,14,14,34,34
1852,8,14,14,34,34
1908,0,20,20,38,60
1908,1,18,18,36,38
1908,2,14,14,34,34
1908,3,18,18,36,38
1908,4,17,17,34,37
1908,5,14,14,34,34
1908,6,15,15,32,35
1908,7,14,14,34,34
1908,8,15,15,35,35
1931,0,20,20,38,60
1931,1,18,18,36,38
1931,2,14,14,34,34
1931,3,18,18,36,38
1931,4,17,17,34,37
1931,5,15,15,35,35
1931,6,15,15,32,35
1931,7,14,14,34,34
1931,8,15,15,35,35
